query,rule_ids
I need a web server with guaranteed CPU availability and no network packet loss,r31;r22
Deploy a database server that must maintain memory above 50% free at all times,r4;r2;r32;r5;r3
Create a video streaming VM with protection against overheating and fan failures,r13
Set up a game server with zero network latency spikes and stable SSH access,r15
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r9;r7;r10;r8
Deploy a critical analytics server with no memory exhaustion risks,r5;r3
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r17;r16
Implement a financial trading system with network interface stability guarantees,r18
Build a IoT edge node with temperature controls and fan speed safeguards,r13
Deploy a machine learning host protected against CPU overload scenarios,r9;r10;r7;r8
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r26;r32;r33;r23;r25
Create a Kubernetes master node with network error rate monitoring,r30;r21;r28;r19;r33
Setup a blockchain node with DPDK network safeguards and CPU headroom,r9;r7;r10;r8;r33;r30;r24;r26;r28;r31;r27;r29;r23;r25
Implement a real-time streaming service with RX/TX error prevention,r30;r21;r28;r19;r33
Deploy a high-frequency trading system with zero packet drops,r29;r20;r31;r22
Create an AI inference server with memory buffer monitoring,r32;r4;r2
Provision a medical imaging with guaranteed CPU availability,r9;r7;r10;r8
Setup a DNS server with ARP consistency and MTU compliance,r17;r16
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r31;r22;r16
Implement a backup server with network flap protection,r18
Deploy a video rendering farm with thermal controls and memory safeguards,r4;r2;r32;r5;r3
Setup a mail server with RX error monitoring and buffer protection,r33;r32;r23;r30;r28;r21;r19;r25
Implement a system with CPU utilization guarantees,r9;r7;r10;r8
Deploy a monitoring server with packet integrity safeguards,r31;r29;r22;r20
Create a low-latency database cluster with network stability,r32
Provision a node with DPDK optimizations and error detection,r30;r28;r33;r21;r19
Setup a virtualization host with memory buffer guarantees,r32;r4;r2
Implement a system with temperature fail-safes,r12;r11
Deploy a mobile backend with SSH access monitoring,r15
Create a distributed cache system with network drop prevention,r29;r20
Provision a big data analytics node with CPU thermal protection,r9;r7;r10;r8
Setup a compliance server with memory usage auditing,r1;r4;r2;r32;r5;r3
Implement a payment gateway with packet integrity checks,r16;r31;r29;r22;r20
Create a federated learning node with network buffer guarantees,r23;r33;r25;r32
Provision a quantum computing interface with stability monitoring,r18
Setup a AR/VR rendering farm with memory safeguards,r4;r2;r32;r5;r3
Implement a digital twin system with DPDK protections,r33;r32;r30;r24;r28;r26;r31;r27;r29;r23;r25
Deploy a edge computing node with fan speed monitoring,r13
Create a smart city IoT hub with network error detection,r30;r21;r28;r19;r33
Provision a robotics control server with CPU guarantees,r9;r7;r10;r8
Setup a satellite ground station with packet loss prevention,r31;r22
Implement a weather modeling cluster with thermal controls,None
Deploy a 5G core network element with DPDK optimizations,r33;r30;r24;r28;r26;r31;r27;r29;r23;r25
Deploy a High-Performance Computing (HPC) Cluster with Thermal and Memory safeguards,r2;r4;r3;r5;r32;r19;r21;r28;r30;r29;r31;r20;r22
Provision a Low-Latency Cloud Gaming Platform with Zero Packet Loss,r31;r22;r32
Implement an Autonomous Vehicle Control System with Real-Time network Stability,r30;r19;r28;r24;r26;r21;r18;r20;r29;r17;r27;r31;r23;r22;r33;r25;r16
Implement a Real-Time Video Surveillance System with Frame Loss Prevention,r31;r22
Create a Cloud-Based AI Training Cluster with GPU Utilization Monitoring,None
Setup a Global Content Delivery Network (CDN) with Packet integrity Assurance,r31;r29;r22;r20
Implement a Satellite Communication Hub with Signal Integrity Checks,None
Build a Decentralized Blockchain Network with Consensus Stability,r30;r19;r28;r24;r26;r21;r18;r20;r29;r17;r27;r31;r23;r22;r33;r25;r16
Setup an Edge AI Inference Node with Thermal and Memory Safeguards,r4;r2;r32;r5;r3
Deploy a Backup Server with SSH Access and Network Stability,r15
Create an IoT Temperature Sensor Node with Thermal Thresholds,r12;r11
Deploy a Static Web Server with MTU and Packet Loss Monitoring,r31;r22;r17
Setup a Digital Signage System with Fan Speed Safeguards,r13
Create a Home Automation Hub with Stable SSH and Low CPU Load,r15;r32;r9;r7;r10;r8
Provision a File Storage Server with Memory and MTU compliance,r17;r4;r2;r32;r5;r3
Setup a Maritime Navigation System with Network Stability,r30;r19;r28;r24;r26;r21;r18;r20;r29;r17;r27;r31;r23;r22;r33;r25;r16
Provision a Smart Agriculture IoT Node with Thermal Controls,None
Create a Disaster Recovery Site with Minimal Packet Loss,r31;r22
Deploy a Public Transit Scheduling System with ARP Checks,r16
Build a Digital Twin for Industrial Machinery with buffer Monitoring,r32;r23;r33;r25
Setup a Cryptocurrency Mining Rig with Thermal Safeguards,None
Create a Wildlife Tracking System with Network Error Detection,r30;r21;r28;r19;r33
Provision a Voice-over-IP (VoIP) Gateway with Packet Integrity,r16;r31;r29;r22;r20
Implement a Smart Metering Hub with Memory Stability,r4;r2;r32;r5;r3
Deploy a Quantum Computing Interface with Fan Speed Alerts,r13;r18;r12
Build a Satellite IoT Gateway with MTU Compliance,r17;r16
Setup a Telemetry Server for Drones with Low Latency,r32
Create a Biometric Authentication System with SSH access,r15
Provision a Genomics Data Processing with CPU Headroom,r9;r7;r10;r8
Deploy a Fleet Management System with No Rx Errors,r30;r21;r28;r19;r33
Implement a Smart Lighting Controller with Thermal Limits,r11
Build a Hydroponics Monitoring Node with Network Stability,r30;r19;r28;r24;r26;r21;r18;r20;r29;r17;r27;r31;r23;r22;r33;r25;r16
Setup a E-Commerce API Gateway with MTU Enforcement,r17;r16
Create a Robotics Simulation with memory Guarantees,r4;r2;r32;r5;r3
Provision a Spacecraft Telemetry Relay with DPDK Buffers,r32;r33;r23;r25
Deploy a Waste Management IoT Sensor with Fan Alerts,r13;r12
Implement a Air Traffic Control Backup System with ARP Checks,r16
Build a Nuclear Plant Sensor Network with Zero Packet Loss,r31;r22
Setup a Railway Signaling System with CPU Stability,r9;r7;r10;r8
Create a Augmented Reality Classroom with SSH Access,r15
Provision a Wind Turbine Monitoring Node with Thermal Controls,None
Deploy a Underwater Data Acoustic Link with Buffer Protection,r32;r23;r33;r25
Build a Lunar Rover Communication Hub with DPDK Optimizations,r33;r32;r30;r24;r28;r26;r31;r27;r29;r23;r25
Deploy a load balancer with 3GHz of processing capabilites,None
