query,rule_id,similarity_score,ollama_score
I need a web server with guaranteed CPU availability and no network packet loss,r1,0.2759,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r2,0.3613,0.3
I need a web server with guaranteed CPU availability and no network packet loss,r3,0.3076,0.5
I need a web server with guaranteed CPU availability and no network packet loss,r4,0.4367,0.3
I need a web server with guaranteed CPU availability and no network packet loss,r5,0.4796,0.5
I need a web server with guaranteed CPU availability and no network packet loss,r6,0.0694,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r7,0.4654,0.8
I need a web server with guaranteed CPU availability and no network packet loss,r8,0.3224,0.9
I need a web server with guaranteed CPU availability and no network packet loss,r9,0.4789,0.8
I need a web server with guaranteed CPU availability and no network packet loss,r10,0.4494,0.9
I need a web server with guaranteed CPU availability and no network packet loss,r11,0.0948,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r12,0.0251,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r13,0.2793,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r14,0.1185,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r15,0.3733,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r16,0.4387,0.7
I need a web server with guaranteed CPU availability and no network packet loss,r17,0.2258,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r18,0.3555,0.7
I need a web server with guaranteed CPU availability and no network packet loss,r19,0.4143,0.7
I need a web server with guaranteed CPU availability and no network packet loss,r20,0.459,0.7
I need a web server with guaranteed CPU availability and no network packet loss,r21,0.4143,0.7
I need a web server with guaranteed CPU availability and no network packet loss,r22,0.4974,0.7
I need a web server with guaranteed CPU availability and no network packet loss,r23,0.5108,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r24,0.4924,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r25,0.5224,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r26,0.551,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r27,0.5294,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r28,0.5408,0.7
I need a web server with guaranteed CPU availability and no network packet loss,r29,0.6137,0.7
I need a web server with guaranteed CPU availability and no network packet loss,r30,0.5408,0.7
I need a web server with guaranteed CPU availability and no network packet loss,r31,0.6201,0.7
I need a web server with guaranteed CPU availability and no network packet loss,r32,0.5405,0.0
I need a web server with guaranteed CPU availability and no network packet loss,r33,0.584,0.0
Deploy a database server that must maintain memory above 50% free at all times,r1,0.6315,0.0
Deploy a database server that must maintain memory above 50% free at all times,r2,0.6151,0.9
Deploy a database server that must maintain memory above 50% free at all times,r3,0.5144,0.7
Deploy a database server that must maintain memory above 50% free at all times,r4,0.6465,0.9
Deploy a database server that must maintain memory above 50% free at all times,r5,0.5672,0.7
Deploy a database server that must maintain memory above 50% free at all times,r6,0.1759,0.0
Deploy a database server that must maintain memory above 50% free at all times,r7,0.3554,0.0
Deploy a database server that must maintain memory above 50% free at all times,r8,0.2366,0.0
Deploy a database server that must maintain memory above 50% free at all times,r9,0.3782,0.0
Deploy a database server that must maintain memory above 50% free at all times,r10,0.2993,0.0
Deploy a database server that must maintain memory above 50% free at all times,r11,0.0983,0.0
Deploy a database server that must maintain memory above 50% free at all times,r12,0.0216,0.0
Deploy a database server that must maintain memory above 50% free at all times,r13,0.1948,0.0
Deploy a database server that must maintain memory above 50% free at all times,r14,0.1362,0.0
Deploy a database server that must maintain memory above 50% free at all times,r15,0.3649,0.0
Deploy a database server that must maintain memory above 50% free at all times,r16,0.2057,0.0
Deploy a database server that must maintain memory above 50% free at all times,r17,0.203,0.0
Deploy a database server that must maintain memory above 50% free at all times,r18,0.2132,0.0
Deploy a database server that must maintain memory above 50% free at all times,r19,0.1815,0.0
Deploy a database server that must maintain memory above 50% free at all times,r20,0.2154,0.0
Deploy a database server that must maintain memory above 50% free at all times,r21,0.1815,0.0
Deploy a database server that must maintain memory above 50% free at all times,r22,0.2052,0.0
Deploy a database server that must maintain memory above 50% free at all times,r23,0.394,0.0
Deploy a database server that must maintain memory above 50% free at all times,r24,0.4151,0.0
Deploy a database server that must maintain memory above 50% free at all times,r25,0.3828,0.0
Deploy a database server that must maintain memory above 50% free at all times,r26,0.356,0.0
Deploy a database server that must maintain memory above 50% free at all times,r27,0.346,0.0
Deploy a database server that must maintain memory above 50% free at all times,r28,0.2764,0.0
