query,rule_ids
I need a web server with guaranteed CPU availability and no network packet loss,r8;r10;r9;r7;r31;r30;r29;r28;r19;r20;r21;r22;r18;r16;r5;r3
Deploy a database server that must maintain memory above 50% free at all times,r4;r2;r5;r3
Create a video streaming VM with protection against overheating and fan failures,r13;r11;r5;r3;r4;r2
Set up a game server with zero network latency spikes and stable SSH access,r31;r30;r29;r28;r22;r21;r20;r19;r18;r17;r16;r15
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r10;r8;r3;r5;r7;r9;r4;r2
Deploy a critical analytics server with no memory exhaustion risks,r2;r4;r32;r5;r3;r6;r1;r9;r7
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r17;r16
Implement a financial trading system with network interface stability guarantees,r18;r31;r29;r30;r28;r22;r20;r21;r19;r16;r17;r15
Build a IoT edge node with temperature controls and fan speed safeguards,r13;r11;r10;r8;r3
Deploy a machine learning host protected against CPU overload scenarios,r10;r9;r8;r7;r5;r3;r4;r2
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r33;r32;r23;r24;r27;r25;r26
Create a Kubernetes master node with network error rate monitoring,r31;r30;r19;r29;r28;r22;r21;r20;r16;r18;r15;r17;r33;r23;r27;r24;r25;r26
Setup a blockchain node with DPDK network safeguards and CPU headroom,r33;r23;r24;r10;r32;r25;r8;r9;r7;r26;r27;r31;r29;r28;r30;r19;r20;r21;r22
Implement a real-time streaming service with RX/TX error prevention,r31;r30;r29;r28;r22;r21;r20;r19;r18;r16
Deploy a high-frequency trading system with zero packet drops,r31;r22;r29;r20;r30;r21;r28;r19;r16;r18;r33
Create an AI inference server with memory buffer monitoring,r3;r5;r2;r4;r32;r24;r23;r25
Provision a medical imaging with guaranteed CPU availability,r10;r8;r3;r5;r7;r9;r4;r2
Setup a DNS server with ARP consistency and MTU compliance,r17
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r31;r30;r29;r22;r28;r21;r20;r3;r19;r5;r4;r2;r16;r18;r32
Implement a backup server with network flap protection,r18;r16;r31;r29;r30;r28;r22;r20;r21;r19;r17
Deploy a video rendering farm with thermal controls and memory safeguards,r11;r3;r5;r13;r2;r4;r10;r32;r6;r8;r7;r9
Setup a mail server with RX error monitoring and buffer protection,r28;r30;r21;r19;r33;r32;r23;r24
Implement a system with CPU utilization guarantees,r10;r8;r9;r7;r5;r3
Deploy a monitoring server with packet integrity safeguards,r31;r30;r29;r28;r22;r21;r20;r19;r13;r18;r16;r17
Create a low-latency database cluster with network stability,r31;r30;r16;r29;r28;r18;r19;r20;r21;r22;r15;r17;r33;r23;r27;r24;r25;r26
Provision a node with DPDK optimizations and error detection,r33;r24;r23;r26;r25;r32;r27;r28;r29;r30;r31;r22;r21;r20;r19
Setup a virtualization host with memory buffer guarantees,r4;r2;r5;r3;r32
Implement a system with temperature fail-safes,r11;r13
Deploy a mobile backend with SSH access monitoring,r15
Create a distributed cache system with network drop prevention,r31;r30;r29;r28;r22;r21;r20;r19;r18;r16;r17;r15
Provision a big data analytics node with CPU thermal protection,r11;r8;r13;r10;r7;r3
Setup a compliance server with memory usage auditing,r4;r2;r5;r3;r32
Implement a payment gateway with packet integrity checks,r31;r19;r30;r29;r28;r21;r20;r22;r16;r17;r18;r33;r27;r24;r25;r26;r23
Create a federated learning node with network buffer guarantees,r33;r32;r24;r25;r26;r27;r23;r28;r30;r29;r31;r22;r21;r20;r19;r18;r17;r16
Provision a quantum computing interface with stability monitoring,r3;r5;r8;r10;r18;r16;r30;r31;r29;r28;r20;r19;r22;r21;r4;r2;r7;r9
Setup a AR/VR rendering farm with memory safeguards,r5;r3;r2;r4;r32;r10;r6;r8;r7;r9
Implement a digital twin system with DPDK protections,r33;r24;r23;r25;r32;r27;r26
Deploy a edge computing node with fan speed monitoring,r12;r11;r13
Create a smart city IoT hub with network error detection,r31;r30;r29;r28;r22;r21;r20;r19;r16;r18;r12;r13;r17;r11;r15
Provision a robotics control server with CPU guarantees,r9;r7;r5;r3;r4;r2
Setup a satellite ground station with packet loss prevention,r31;r30;r29;r28;r22;r21;r20;r19;r18;r16
Implement a weather modeling cluster with thermal controls,r11;r13;r3;r8;r5;r2
Deploy a 5G core network element with DPDK optimizations,r33;r27;r26;r23;r24;r25;r32;r28;r29;r30;r31;r22;r21;r20;r19
Deploy a High-Performance Computing (HPC) Cluster with Thermal and Memory safeguards,r11;r3;r5;r13;r2;r4;r10;r32;r6;r8;r7;r9
