query,rule_ids
I need a web server with guaranteed CPU availability and no network packet loss,r7;r8;r9;r10;r28;r29;r30;r31
Deploy a database server that must maintain memory above 50% free at all times,r2;r3;r4;r5
Create a video streaming VM with protection against overheating and fan failures,r13
Set up a game server with zero network latency spikes and stable SSH access,r15;r16;r18;r19;r20;r21;r28;r29;r30
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r8;r10
Deploy a critical analytics server with no memory exhaustion risks,r2;r4;r8;r10;r32
Create a high-security server with MTU 1500 enforcement and gateway monitoring,None
Implement a financial trading system with network interface stability guarantees,r16;r18;r20;r28;r29;r30;r31
Build a IoT edge node with temperature controls and fan speed safeguards,r13
Deploy a machine learning host protected against CPU overload scenarios,r5;r7;r8;r9;r10
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r23;r24;r25;r26;r33
Create a Kubernetes master node with network error rate monitoring,r19;r20;r21;r22;r28;r29;r30;r31
Setup a blockchain node with DPDK network safeguards and CPU headroom,r23;r24;r25;r26;r27;r28;r29;r30;r31;r32;r33
Implement a real-time streaming service with RX/TX error prevention,r28;r29;r30;r31
Deploy a high-frequency trading system with zero packet drops,r18;r19;r20;r21;r22;r29;r31
Create an AI inference server with memory buffer monitoring,r2;r3;r4;r5;r32;r33
Provision a medical imaging with guaranteed CPU availability,r3;r5;r7;r8;r9;r10
Setup a DNS server with ARP consistency and MTU compliance,None
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r2;r3;r4;r5;r28;r29;r30;r31;r32
Implement a backup server with network flap protection,r18
Deploy a video rendering farm with thermal controls and memory safeguards,r2;r3;r4;r5;r32
Setup a mail server with RX error monitoring and buffer protection,None
Implement a system with CPU utilization guarantees,r7;r8;r9;r10
Deploy a monitoring server with packet integrity safeguards,None
Create a low-latency database cluster with network stability,r29
Provision a node with DPDK optimizations and error detection,r23;r24;r25;r26;r27;r28;r29;r30;r31;r32;r33
Setup a virtualization host with memory buffer guarantees,r2;r3;r4;r5;r32
Implement a system with temperature fail-safes,None
Deploy a mobile backend with SSH access monitoring,r15
Create a distributed cache system with network drop prevention,r28;r29;r30;r31
Provision a big data analytics node with CPU thermal protection,r10;r12
Setup a compliance server with memory usage auditing,r1;r2;r3;r4;r5;r32
Implement a payment gateway with packet integrity checks,None
Create a federated learning node with network buffer guarantees,r23;r24;r25;r26;r27;r28;r29;r30;r31;r32;r33
Provision a quantum computing interface with stability monitoring,None
Setup a AR/VR rendering farm with memory safeguards,r2;r3;r4;r5;r32
Implement a digital twin system with DPDK protections,r33
Deploy a edge computing node with fan speed monitoring,r13
Create a smart city IoT hub with network error detection,r16;r18;r19;r21;r28;r29;r30;r31
Provision a robotics control server with CPU guarantees,r5;r8;r10
Setup a satellite ground station with packet loss prevention,r29;r31
Implement a weather modeling cluster with thermal controls,r11
Deploy a 5G core network element with DPDK optimizations,r23;r24;r25;r26;r27;r28;r29;r30;r31;r33
Deploy a High-Performance Computing (HPC) Cluster with Thermal and Memory safeguards,r2;r3;r4;r5;r32
