query,rule_ids
I need a web server with guaranteed CPU availability and no network packet loss,r4;r5;r3
Deploy a database server that must maintain memory above 50% free at all times,None
Create a video streaming VM with protection against overheating and fan failures,r4;r5;r3
Set up a game server with zero network latency spikes and stable SSH access,r4;r5;r13;r33;r3;r23;r7
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,None
Deploy a critical analytics server with no memory exhaustion risks,None
Create a high-security server with MTU 1500 enforcement and gateway monitoring,None
Implement a financial trading system with network interface stability guarantees,r4;r5
Build a IoT edge node with temperature controls and fan speed safeguards,r4;r9;r5;r13;r10;r24;r8;r28;r25;r23;r18;r29;r27;r3;r19;r21;r7;r31;r17;r15
Deploy a machine learning host protected against CPU overload scenarios,None
Setup a reverse proxy with DPDK buffer protection and IP fragment security,None
Create a Kubernetes master node with network error rate monitoring,None
Setup a blockchain node with DPDK network safeguards and CPU headroom,None
Implement a real-time streaming service with RX/TX error prevention,r4;r5;r3
Deploy a high-frequency trading system with zero packet drops,None
Create an AI inference server with memory buffer monitoring,None
Provision a medical imaging with guaranteed CPU availability,r4;r5;r3
Setup a DNS server with ARP consistency and MTU compliance,r4;r5
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,None
Implement a backup server with network flap protection,r4;r5;r3
Deploy a video rendering farm with thermal controls and memory safeguards,r3
Setup a mail server with RX error monitoring and buffer protection,None
Implement a system with CPU utilization guarantees,None
Deploy a monitoring server with packet integrity safeguards,r4;r5;r3
Create a low-latency database cluster with network stability,r4;r5
Provision a node with DPDK optimizations and error detection,None
Setup a virtualization host with memory buffer guarantees,r4;r5;r3
Implement a system with temperature fail-safes,None
Deploy a mobile backend with SSH access monitoring,None
Create a distributed cache system with network drop prevention,r4;r5;r23;r33;r3
Provision a big data analytics node with CPU thermal protection,r4;r5;r3
Setup a compliance server with memory usage auditing,r4;r5;r3
Implement a payment gateway with packet integrity checks,r4;r5;r3
Create a federated learning node with network buffer guarantees,r4;r33;r5;r23;r3;r13
Provision a quantum computing interface with stability monitoring,r4;r5;r3
Setup a AR/VR rendering farm with memory safeguards,None
Implement a digital twin system with DPDK protections,r4;r5
Deploy a edge computing node with fan speed monitoring,r4;r5;r3
Create a smart city IoT hub with network error detection,r4;r5
Provision a robotics control server with CPU guarantees,r4;r5;r3
Setup a satellite ground station with packet loss prevention,r4;r5;r3
Implement a weather modeling cluster with thermal controls,None
Deploy a 5G core network element with DPDK optimizations,None
Deploy a High-Performance Computing (HPC) Cluster with Thermal and Memory safeguards,None
Provision a Low-Latency Cloud Gaming Platform with Zero Packet Loss,None
Implement an Autonomous Vehicle Control System with Real-Time network Stability,None
Implement a Real-Time Video Surveillance System with Frame Loss Prevention,r4;r5;r3
Create a Cloud-Based AI Training Cluster with GPU Utilization Monitoring,r4;r5
Setup a Global Content Delivery Network (CDN) with Packet integrity Assurance,r4;r5;r3
Implement a Satellite Communication Hub with Signal Integrity Checks,r4;r5
Build a Decentralized Blockchain Network with Consensus Stability,r4;r5;r3
Setup an Edge AI Inference Node with Thermal and Memory Safeguards,r4;r29;r25;r5;r15;r9;r3;r19;r24;r26;r8;r30;r28;r10;r16;r23;r20;r27;r7;r31;r13;r18;r21;r17
Deploy a Backup Server with SSH Access and Network Stability,None
Create an IoT Temperature Sensor Node with Thermal Thresholds,r4;r5
Deploy a Static Web Server with MTU and Packet Loss Monitoring,None
Setup a Digital Signage System with Fan Speed Safeguards,None
Create a Home Automation Hub with Stable SSH and Low CPU Load,r4;r5
Provision a File Storage Server with Memory and MTU compliance,r3;r6;r7
Setup a Maritime Navigation System with Network Stability,r4;r5;r3
Provision a Smart Agriculture IoT Node with Thermal Controls,None
Create a Disaster Recovery Site with Minimal Packet Loss,r4;r5;r3
Deploy a Public Transit Scheduling System with ARP Checks,None
Build a Digital Twin for Industrial Machinery with buffer Monitoring,r4;r5;r3
Setup a Cryptocurrency Mining Rig with Thermal Safeguards,None
Create a Wildlife Tracking System with Network Error Detection,r4;r5
Provision a Voice-over-IP (VoIP) Gateway with Packet Integrity,None
Implement a Smart Metering Hub with Memory Stability,r4;r5;r3
Deploy a Quantum Computing Interface with Fan Speed Alerts,None
Build a Satellite IoT Gateway with MTU Compliance,None
Setup a Telemetry Server for Drones with Low Latency,None
Create a Biometric Authentication System with SSH access,None
Provision a Genomics Data Processing with CPU Headroom,r7;r6
Deploy a Fleet Management System with No Rx Errors,None
Implement a Smart Lighting Controller with Thermal Limits,r4;r5;r3
Build a Hydroponics Monitoring Node with Network Stability,r4;r5
Setup a E-Commerce API Gateway with MTU Enforcement,None
Create a Robotics Simulation with memory Guarantees,r4;r5;r3
Provision a Spacecraft Telemetry Relay with DPDK Buffers,None
Deploy a Waste Management IoT Sensor with Fan Alerts,None
Implement a Air Traffic Control Backup System with ARP Checks,r4;r5;r3
Build a Nuclear Plant Sensor Network with Zero Packet Loss,r4;r5;r3
Setup a Railway Signaling System with CPU Stability,r7;r6;r3
Create a Augmented Reality Classroom with SSH Access,None
Provision a Wind Turbine Monitoring Node with Thermal Controls,None
Deploy a Underwater Data Acoustic Link with Buffer Protection,None
Build a Lunar Rover Communication Hub with DPDK Optimizations,r4;r5
Deploy a load balancer with 3GHz of processing capabilites,None
