query,rule_ids
I need a web server with guaranteed CPU availability and no network packet loss,r31;r29;r32;r33;r30;r28;r9;r24;r26;r25;r10;r7;r27;r5;r23;r8;r4;r22;r21;r19
Deploy a database server that must maintain memory above 50% free at all times,r1;r4;r33;r2;r32;r3;r5;r25;r24;r29
Create a video streaming VM with protection against overheating and fan failures,r5;r10;r8;r13;r4;r9
Set up a game server with zero network latency spikes and stable SSH access,r20;r16;r21;r19;r18;r13;r22;r29;r25;r17;r5;r33;r27;r3;r23;r4;r2;r26;r1;r8;r24;r7;r31;r28;r30;r10
Provision an e-commerce host with guaranteed CPU headroom below 90% utilization,r7;r4;r9;r5;r15;r8;r2;r1;r10
Deploy a critical analytics server with no memory exhaustion risks,r5;r3;r4;r2;r32;r8;r10;r33;r1;r24;r7;r9;r23;r16;r29;r13;r25;r26;r31;r30;r28
Create a high-security server with MTU 1500 enforcement and gateway monitoring,r26;r10
Implement a financial trading system with network interface stability guarantees,r25;r27;r33;r29;r24;r26;r19;r21;r22;r20;r23;r18;r16;r28;r30;r17
Build a IoT edge node with temperature controls and fan speed safeguards,r13;r5;r26;r25;r23;r16;r33;r10
Deploy a machine learning host protected against CPU overload scenarios,r9;r10;r7;r8;r5;r4;r3;r33;r26;r24;r32;r23;r25;r30;r28;r29;r15;r2;r27
Setup a reverse proxy with DPDK buffer protection and IP fragment security,r33;r25;r32;r23;r4;r24;r5;r30;r28;r27;r29;r26
Create a Kubernetes master node with network error rate monitoring,r30;r28;r25;r33;r27;r29;r31;r26;r19;r21;r24;r23;r22;r16;r20;r32;r5;r4;r17
Setup a blockchain node with DPDK network safeguards and CPU headroom,r33;r25;r27;r24;r26;r30;r28;r5;r15;r4;r29;r23;r32;r7;r9;r16;r3;r2;r1;r8;r10;r31;r19;r21
Implement a real-time streaming service with RX/TX error prevention,r5;r3;r33;r4;r32;r2
Deploy a high-frequency trading system with zero packet drops,r20;r18;r22;r17;r2;r29;r11;r6;r16;r24;r4;r8;r7;r3;r13;r23;r1;r21;r19;r31;r32;r12;r5
Create an AI inference server with memory buffer monitoring,r33;r4;r2;r1;r32;r3;r5;r24;r25;r29;r27;r28;r30;r31;r26;r23
Provision a medical imaging with guaranteed CPU availability,r5;r7;r9;r10;r4;r8;r15;r25;r13
Setup a DNS server with ARP consistency and MTU compliance,r25;r27;r33
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r33;r32;r4;r1;r5;r24;r2;r3;r31;r29;r28;r30;r25;r27;r23;r26
Implement a backup server with network flap protection,r33;r26;r25;r27;r29;r30;r28;r31;r24;r23;r5;r4;r32
Deploy a video rendering farm with thermal controls and memory safeguards,r4;r5;r2;r3;r33;r32;r1;r23;r24;r25;r29;r8;r15;r10;r27;r16
Setup a mail server with RX error monitoring and buffer protection,r33;r5;r4;r25;r24;r3;r32;r2;r30;r28;r29;r27;r26;r23;r31
Implement a system with CPU utilization guarantees,r9;r4;r7;r5;r25;r27;r10;r33;r24;r15;r32;r2;r8
Deploy a monitoring server with packet integrity safeguards,r27;r29;r25;r26;r33;r5
Create a low-latency database cluster with network stability,r29;r20;r22;r26;r25;r19;r21;r31;r27;r30;r28;r33;r24;r16;r32;r17;r18;r23;r13
Provision a node with DPDK optimizations and error detection,r30;r28;r26;r33;r29;r31;r25;r27;r23;r24;r32
Setup a virtualization host with memory buffer guarantees,r4;r5;r33;r32;r2;r1;r3;r15;r25;r24;r27;r29;r10;r9;r23;r30;r28
